Equipo,Denominación,GMAO,Ubicación Tec
2053755,MATRIZ DCG020 L52 LAT IZQUIERDO MIGUEL R,WLIXMT690,ENVG_T_006_CX-_CXG-_CCIX_0002
2053756,MATRIZ DCG020 B52 LATERAL I [M.R],WLIXMT691,ENVG_T_006_CX-_CXG-_CCIX_0002
2053757,MATRIZ PCG100 X52 LATERAL I  [M.R],WLIXMT692,ENVG_T_006_CX-_CXG-_CCIX_0002
2053758,MATRIZ DCD020 L52 LATERAL DERECHO,WLDXMT693,ENVG_T_006_CX-_CXD-_CCDX_0001
2053759,MATRIZ DCD020 B52 LATERAL I [MR],WLDXMT694,ENVG_T_006_CX-_CXD-_CCDX_0001
2053760,MATRIZ PCD100 X52 LATERAL D [M.R],WLDXMT695,ENVG_T_006_CX-_CXD-_CCDX_0001
2053761,PT010 DISPOSITIVO PREPARAC. TECHO,WDPTMM028,ENVG_T_UN2
2053762,MATRIZ PED180 TUCKER DOBLADU. CUSTOD DER,WTDCMM029,ENVG_T_UN2
2053763,MATRIZ PEG180 TUCKER DOBLADU CUSTOD IZQ,WTDCMM030,ENVG_T_UN2
2053764,MATRIZ PYG015 PASO RUEDA TRAS IZQ TABLET,WPRTMM031,ENVG_T_UN2
2053765,MATRIZ PVD020 SERTISSAGE TT,WSEXMT700,ENVG_T_006_OU-_PV--_PVD-_0020
2053766,MATRIZ PVG020 SERTISSAGE TT,WSEXMT701,ENVG_T_006_OU-_PV--_PVG-_0020
2053767,MATRIZ PVG010 SERTISSAGE TT,WSEXMT702,ENVG_T_006_OU-_PV--_PVG-_0020
2053768,MATRIZ PRG010 X52  SERTISSAGE [O.Z],WSEXMT703,ENVG_T_006_OU-_PR--_PRG-_0010
2053769,MATRIZ PYD015 PASO RUEDA TRAS DERE TRASE,WPRTMM032,ENVG_T_006_BRX
2053770,MATRIZ PRG020 X52 SERTISSAGE [O.Z],WSEXMT705,ENVG_T_006_OU-_PR--_PRG-_0010
2053771,MATRIZ PVG030 SERTISSAGE TT,WSEXMT706,ENVG_T_006_OU-_PV--_PVG-_0020
2053772,MATRIZ PRG030 X52 SERTISSAGE [O.Z],WSEXMT707,ENVG_T_006_OU-_PR--_PRG-_0010
2053773,MATRIZ PRD010 X52 SERTISSAGE [O.Z],WSEXMT708,ENVG_T_006_OU-_PR--_PRD-_0010
